Name,Pop2023,Geopoint
Accomack County,33488,"37.7649390453, -75.7565570848"
"Albemarle County, Charlottesville",163898,"38.0228983556, -78.5566760673"
"Arlington County, Alexandria City",413266,"38.8785834577, -77.1009715341"
"Augusta County, Staunton, Waynesboro",127512,"38.1644265021, -79.1338544675"
Bedford County,82699,"37.3151524068, -79.5241721318"
"Campbell County, Lynchburg",135992,"37.205360404, -79.0965107022"
Caroline County,31589,"38.0267183008, -77.3470467441"
Carroll County,28888,"36.7315540772, -80.733902516"
"Chesterfield County, Colonial Heights",397439,"37.378523092, -77.5869258358"
Clarke County,15008,"39.1123184538, -77.9966807915"
"Dinwiddie County, Petersburg",61702,"37.0759383564, -77.6322882986"
"Essex County, Charles City County, King and Queen County, King George County, King William County, Lancaster County, Mathews County, Middlesex County, New Kent County, Northumberland County, Richmond County, Westmoreland County",162913,"37.9390693081, -76.9408852763"
"Fairfax County, Fairfax City County, Falls Church City County",1210860,"38.8345659231, -77.2762195686"
Fauquier County,75303,"38.7386464353, -77.8092394301"
Floyd County,15536,"36.9316012682, -80.3625657303"
Franklin County,53973,"36.6830914867, -76.9385845546"
"Frederick County, Winchester",124048,"39.2045833383, -78.2625471123"
Gloucester County,39266,"37.4012086268, -76.5229667418"
Halifax County,33356,"36.7669858485, -78.9366028156"
Hanover County,113015,"37.7601394811, -77.4911573271"
"Henrico County, Richmond City",575954,"37.5380074268, -77.405844847"
"Henry County, Martinsville",63371,"36.6827726796, -79.873952503"
"James City County, Williamsburg",97459,"37.3133053, -76.7738000898"
Loudoun County,453554,"39.090675859, -77.6357053514"
Louisa County,38928,"37.9781820266, -77.9628583492"
"Madison County, Culpeper County, Greene County, Orange County, Page County, Rappahannock County",157540,"38.4137041563, -78.2792244734"
Montgomery County,101320,"37.1742907521, -80.3872154427"
Northampton County,12249,"37.3007843394, -75.9285418475"
Patrick County,17344,"36.6783637366, -80.2842745676"
"Pittsylvania County, Danville",102053,"36.8212977305, -79.3971193907"
"Prince Edward County, Amelia County, Appomattox County, Buckingham County, Charlotte County, Cumberland County, Fluvanna County, Goochland County, Lunenburg County, Mecklenburg County, Nottoway County, Powhatan County",229980,"37.2243021506, -78.4410828106"
"Prince George County, Hopewell",68359,"37.1865096844, -77.2241521943"
"Prince William County, Manassas, Manassas Park",568625,"38.701685538, -77.4776193547"
"Roanoke County, Roanoke, Salem",224707,"37.2692738291, -80.0679899739"
"Rockbridge County, Buena Vista, Lexington, Alleghany County, Covington, Amherst County, Bath County, Botetourt County, Craig County, Highland County, Nelson County",147865,"37.8144890524, -79.4472820902"
"Rockingham County, Harrisonburg",138673,"38.5120104943, -78.8757516437"
Shenandoah County,44843,"38.8583044048, -78.570851665"
"Spotsylvania County, Fredericksburg City",174416,"38.1849543372, -77.6560473238"
Stafford County,165318,"38.4207190191, -77.4574003866"
"Sussex County, Brunswick County, Greensville County, Emporia, Isle of Wight County, Suffolk, Southampton County, Franklin, Surry County",211830,"36.9217518991, -77.261794619"
"Virginia Beach City County, Chesapeake City, Norfolk City, Portsmouth",1058693,"36.7777632303, -76.0163281416"
Warren County,41672,"38.9086479451, -78.2084593587"
"Wise County, Norton, Buchanan County, Dickenson County, Lee County, Russell County, Scott County, Washington County, Bristol",208740,"36.97522315, -82.6212020717"
"Wythe County, Bland County, Giles County, Grayson County, Galax, Pulaski County, Radford, Smyth County, Tazewell County",190205,"36.9171118758, -81.0786676313"
"York County, Hampton, Newport News City, Poquoson",408939,"37.2380515699, -76.4425351607"
