Table 1
Name,Pop2023,Lat,Long
"Albemarle County, Charlottesville",163898,38.0301949171,-78.52108797605
"Arlington County, Alexandria City",413266,38.84851852155,-77.09358879625
Bedford County,82699,37.3151524068,-79.5241721318
"Campbell County, Lynchburg",135992,37.3028226297,-79.1436835021
"Chesterfield County, Colonial Heights",397439,37.3217817553,-77.49191627885
"Dinwiddie County, Petersburg",61702,37.14010218445,-77.5118129269
"Essex County, Charles City County, King and Queen County, King George County, King William County, Lancaster County, Mathews County, Middlesex County, New Kent County, Northumberland County, Richmond County, Westmoreland County",152479,37.7619876566833,-76.770344607025
"Fairfax County, Fairfax City County, Falls Church City County",1210860,38.8574636581333,-77.2503904875333
Fauquier County,75303,38.7386464353,-77.8092394301
Franklin County,53973,36.6830914867,-76.9385845546
Gloucester County,39266,37.4012086268,-76.5229667418
Hanover County,113015,37.7601394811,-77.4911573271
"Henrico County, Richmond City",575954,37.53372452345,-77.440716401
"James City County, Williamsburg",97459,37.29124104475,-76.7406981204
"Loudoun County, Clarke County, Frederick County, Winchester",592610,39.145270772425,-78.017394202675
Louisa County,38928,37.9781820266,-77.9628583492
"Madison County, Culpeper County, Greene County, Orange County, Page County, Rappahannock County",157540,38.4579618163,-78.2265346186
"Northampton County, Accomack County",45737,37.53286169235,-75.84254946615
"Prince Edward County, Amelia County, Appomattox County, Buckingham County, Charlotte County, Cumberland County, Danville, Fluvanna County, Goochland County, Halifax County, Henry County, Lunenburg County, Martinsville, Mecklenburg County, Nottoway County, Pittsylvania County, Powhatan County",428760,37.1440532523647,-78.6416435927941
"Prince George County, Hopewell",68359,37.2389979568,-77.26132176755
"Prince William County, Manassas, Manassas Park",568625,38.7404813818,-77.4688197161667
"Roanoke County, Roanoke, Salem",224707,37.2780531535,-80.0271829215
"Rockingham County, Alleghany County, Amherst County, Augusta County, Bath County, Botetourt County, Buena Vista, Covington, Craig County, Harrisonburg, Highland County, Lexington, Nelson County, Rockbridge County, Staunton, Waynesboro",414050,37.9429184922937,-79.4032360465688
Shenandoah County,44843,38.8583044048,-78.570851665
"Spotsylvania County, Caroline County, Fredericksburg City",206005,38.170288413,-77.4967481776
Stafford County,165318,38.4207190191,-77.4574003866
"Sussex County, Brunswick County, Emporia, Franklin, Greensville County, Isle of Wight County, Southampton County, Suffolk, Surry County",211830,36.8328364065889,-77.4927416526222
"Virginia Beach City County, Chesapeake City, Norfolk City, Portsmouth",1058693,36.80946216245,-76.230272183975
Warren County,41672,38.9086479451,-78.2084593587
"Wythe County, Bland County, Bristol, Buchanan County, Dickenson County, Galax, Giles County, Grayson County, Lee County, Norton, Pulaski County, Radford, Russell County, Scott County, Smyth County, Tazewell County, Washington County, Wise County, Carroll County, Floyd County, Montgomery County, Patrick County",562033,36.9251829338591,-81.4897340293909
"York County, Hampton, Newport News City, Poquoson",408939,37.128283581825,-76.381238981425
